id,name,country,status,reactor_type,reactor_model,construction_start,operational_from,operational_to,capacity,last_updated,source,iaeaid
723,Vogtle-3,United States,Operational,PWR,AP-1000,2013-03-02,2023-07-31,,1117.0,2023-08-28T08:01:45+03:00,WNA/IAEA,1042.0
764,Fangchenggang-3,China,Operational,PWR,HPR1000,2015-12-24,2023-03-25,,1000.0,2023-08-28T08:01:45+03:00,IAEA,945.0
32,Barakah-3 (Braka),United Arab Emirates,Operational,PWR,APR-1400,2014-09-24,2023-02-24,,1310.0,2023-08-28T08:01:45+03:00,WNA/IAEA,1052.0
622,Shin-Hanul-1,South Korea,Operational,PWR,APR-1400,2012-07-10,2022-12-07,,1340.0,2022-12-30T00:57:40+02:00,IAEA,887.0
323,Hongyanhe-6,China,Operational,PWR,ACPR-1000,2015-07-24,2022-06-23,,1061.0,2022-09-24T22:33:57+03:00,WNA/IAEA/GEO,998.0
768,KANUPP-3,Pakistan,Operational,PWR,ACP-1000,2016-05-31,2022-04-18,,1014.0,2022-09-24T22:33:57+03:00,IAEA,1068.0
240,Fuqing-6,China,Operational,PWR,HPR1000,2015-12-22,2022-03-25,,1075.0,2022-09-24T22:33:57+03:00,WNA/Wikipedia/IAEA,938.0
31,Barakah-2 (Braka),United Arab Emirates,Operational,PWR,APR-1400,2013-04-15,2022-03-24,,1310.0,2023-08-28T08:01:45+03:00,WNA/IAEA,1051.0
322,Hongyanhe-5,China,Operational,PWR,ACPR-1000,2015-03-29,2021-07-31,,1061.0,2022-01-05T00:04:08+02:00,WNA/IAEA/GEO,997.0
39,Belarusian-1,Belarus,Operational,PWR,VVER V-491,2013-11-08,2021-06-10,,1110.0,2021-10-01T00:14:53+03:00,IAEA,1056.0
690,Tianwan-6,China,Operational,PWR,CNP-1000,2016-09-07,2021-06-02,,1000.0,2021-06-29T00:12:17+03:00,WNA/Wikipedia/IAEA,976.0
766,KANUPP-2,Pakistan,Operational,PWR,ACP-1000,2015-08-20,2021-05-21,,1017.0,2022-04-21T20:26:19+03:00,IAEA,1067.0
30,Barakah-1 (Braka),United Arab Emirates,Operational,PWR,APR-1400,2012-07-19,2021-04-01,,1310.0,2023-08-28T08:01:45+03:00,WNA/IAEA,1050.0
424,Leningrad 2-2,Russia,Operational,PWR,VVER V-491,2010-04-15,2021-03-18,,1066.0,2021-04-30T21:49:18+03:00,WNA/IAEA,901.0
239,Fuqing-5,China,Operational,PWR,HPR1000,2015-05-07,2021-01-30,,1075.0,2022-12-30T00:57:40+02:00,WNA/IAEA,937.0
689,Tianwan-5,China,Operational,PWR,CNP-1000,2015-12-27,2020-09-08,,1000.0,2021-01-06T01:19:47+02:00,WNA/Wikipedia/IAEA,975.0
2,Akademik Lomonosov-2,Russia,Operational,PWR,KLT-40S 'Floating',2007-04-15,2020-05-22,,30.0,2021-05-31,WNA/IAEA/Google Maps,896.0
1,Akademik Lomonosov-1,Russia,Operational,PWR,KLT-40S 'Floating',2007-04-15,2020-05-22,,30.0,2021-05-31,WNA/IAEA/Google Maps,895.0
486,Novovoronezh 2-2,Russia,Operational,PWR,VVER V-392M,2009-07-12,2019-10-31,,1114.0,2020-04-18T04:46:52+03:00,WNA/IAEA,899.0
667,Taishan-2,China,Operational,PWR,EPR-1750,2010-04-15,2019-09-07,,1660.0,2022-09-24T22:33:57+03:00,WNA/IAEA/Wikipedia,919.0
627,Saeul-2,South Korea,Operational,PWR,APR-1400,2009-08-19,2019-08-29,,1340.0,2022-12-30T01:45:43+02:00,WNA/IAEA,886.0
751,Yangjiang-6,China,Operational,PWR,ACPR-1000,2013-12-23,2019-07-24,,1000.0,2019-11-22,IAEA,934.0
276,Haiyang-2,China,Operational,PWR,AP-1000,2010-06-20,2019-01-09,,1126.0,2019-06-02T20:18:37+03:00,WNA/IAEA,909.0
688,Tianwan-4,China,Operational,PWR,VVER V-428M,2013-09-27,2018-12-22,,1060.0,2019-06-02T20:19:28+03:00,WNA/IAEA,974.0
666,Taishan-1,China,Operational,PWR,EPR-1750,2009-11-18,2018-12-13,,1660.0,2021-01-09T20:00:00+02:00,WNA/IAEA/Wikipedia,918.0
595,Sanmen-2,China,Operational,PWR,AP-1000,2009-12-15,2018-11-05,,1157.0,2019-06-02T20:19:24+03:00,WNA/IAEA,880.0
423,Leningrad 2-1,Russia,Operational,PWR,VVER V-491,2008-10-25,2018-10-29,,1066.0,2019-11-22,WNA/IAEA,900.0
275,Haiyang-1,China,Operational,PWR,AP-1000,2009-09-24,2018-10-22,,1126.0,2019-06-02T20:18:34+03:00,WNA/IAEA,908.0
584,Rostov-4 (Volgodonsk-4),Russia,Operational,PWR,VVER V-320,2010-06-16,2018-09-28,,950.0,2019-06-02T20:19:20+03:00,WNA/IAEA,507.0
594,Sanmen-1,China,Operational,PWR,AP-1000,2009-04-19,2018-09-21,,1157.0,2018-10-13T22:30:42+03:00,WNA/IAEA,879.0
750,Yangjiang-5,China,Operational,PWR,ACPR-1000,2013-09-18,2018-07-12,,1021.0,2019-06-02T20:19:31+03:00,IAEA,933.0
687,Tianwan-3,China,Operational,PWR,VVER V-428M,2012-12-27,2018-02-14,,1060.0,2018-07-01T01:21:55+03:00,WNA/IAEA,973.0
132,CHASNUPP-4,Pakistan,Operational,PWR,CNP-300,2011-12-18,2017-09-19,,313.0,2021-06-07,IAEA,1045.0
238,Fuqing-4,China,Operational,PWR,CNP-1000,2012-11-17,2017-09-17,,1000.0,2018-03-10T14:52:08+02:00,WNA/IAEA,936.0
401,Kudankulam-2,India,Operational,PWR,VVER V-412,2002-07-04,2017-03-31,,917.0,2017-09-25T03:20:10+03:00,WNA/IAEA,853.0
749,Yangjiang-4,China,Operational,PWR,CPR-1000,2012-11-17,2017-03-15,,1000.0,2017-09-25T03:20:38+03:00,WNA/IAEA,932.0
485,Novovoronezh 2-1,Russia,Operational,PWR,VVER V-392M,2008-06-24,2017-02-27,,1114.0,2019-11-22,WNA/IAEA,898.0
626,Saeul-1,South Korea,Operational,PWR,APR-1400,2008-10-16,2016-12-20,,1340.0,2022-12-30T01:45:43+02:00,WNA/IAEA,885.0
131,CHASNUPP-3,Pakistan,Operational,PWR,CNP-300,2011-05-28,2016-12-06,,315.0,2021-06-07,WNA/IAEA,1044.0
48,Beloyarsk-4,Russia,Operational,FBR,BN-800,2006-07-18,2016-10-31,,820.0,2017-09-25T03:19:53+03:00,WNA/IAEA,451.0
237,Fuqing-3,China,Operational,PWR,CNP-1000,2010-12-31,2016-10-24,,1000.0,2017-02-10T23:59:36+02:00,WNA/IAEA,935.0
727,Watts Bar-2,United States,Operational,PWR,WH 4LP (ICECND),1973-09-01,2016-10-19,,1165.0,2017-02-10T23:58:57+02:00,WNA/IAEA,700.0
208,Fangchenggang-2,China,Operational,PWR,CPR-1000,2010-12-23,2016-10-01,,1000.0,2017-02-10T23:59:36+02:00,WNA/IAEA,944.0
124,Changjiang-2,China,Operational,PWR,CNP-600,2010-11-21,2016-08-12,,601.0,2021-04-20T03:20:43+03:00,WNA/IAEA/Wikipedia,940.0
476,Ningde-4,China,Operational,PWR,CPR-1000,2010-09-29,2016-07-21,,1018.0,2016-10-03T22:05:23+03:00,WNA/IAEA,924.0
321,Hongyanhe-4,China,Operational,PWR,CPR-1000,2009-08-15,2016-06-08,,1061.0,2019-06-02T20:18:47+03:00,WNA/IAEA/GEO,907.0
24,Atucha-2,Argentina,Operational,PHWR,PHWR KWU,1981-07-13,2016-05-25,,692.0,2023-08-28T08:01:45+03:00,WNA/IAEA,5.0
748,Yangjiang-3,China,Operational,PWR,CPR-1000,2010-11-15,2016-01-01,,1000.0,2016-03-09T18:43:57+02:00,WNA/IAEA,931.0
207,Fangchenggang-1,China,Operational,PWR,CPR-1000,2010-07-30,2016-01-01,,1000.0,2019-06-29T22:55:52+03:00,WNA/IAEA,943.0
123,Changjiang-1,China,Operational,PWR,CNP-600,2010-04-25,2015-12-25,,601.0,2021-04-20T03:20:43+03:00,WNA/IAEA/Wikipedia,939.0
236,Fuqing-2,China,Operational,PWR,CNP-1000,2009-06-17,2015-10-16,,1000.0,2016-03-09T18:43:55+02:00,WNA/IAEA,915.0
583,Rostov-3 (Volgodonsk-3),Russia,Operational,PWR,VVER V-320,2009-09-15,2015-09-17,,950.0,2017-02-10T23:57:13+02:00,WNA/IAEA,506.0
320,Hongyanhe-3,China,Operational,PWR,CPR-1000,2009-03-07,2015-08-16,,1061.0,2017-09-25T03:20:36+03:00,WNA/IAEA/GEO,906.0
621,Shin-Wolsong-2,South Korea,Operational,PWR,OPR-1000,2008-09-23,2015-07-24,,950.0,2022-04-21T20:26:19+03:00,WNA/IAEA,884.0
475,Ningde-3,China,Operational,PWR,CPR-1000,2010-01-08,2015-06-10,,1018.0,2015-08-23T03:28:29+03:00,WNA/IAEA,923.0
747,Yangjiang-2,China,Operational,PWR,CPR-1000,2009-06-04,2015-06-05,,1000.0,2015-08-23T03:28:27+03:00,WNA/IAEA,882.0
210,Fangjiashan-2,China,Operational,PWR,CPR-1000,2009-07-17,2015-02-12,,1000.0,2015-05-24T04:51:56+03:00,WNA/IAEA,913.0
400,Kudankulam-1,India,Operational,PWR,VVER V-412,2002-03-31,2014-12-31,,917.0,2015-05-24T04:51:50+03:00,WNA/IAEA,852.0
209,Fangjiashan-1,China,Operational,PWR,CPR-1000,2008-12-26,2014-12-15,,1000.0,2015-05-24T04:51:56+03:00,WNA/IAEA,912.0
235,Fuqing-1,China,Operational,PWR,CNP-1000,2008-11-21,2014-11-22,,1000.0,2016-03-09T18:43:50+02:00,WNA/IAEA,914.0
319,Hongyanhe-2,China,Operational,PWR,CPR-1000,2008-03-28,2014-05-13,,1061.0,2015-08-23T03:28:28+03:00,WNA/IAEA/GEO,905.0
