id,name,country,status,reactor_type,reactor_model,construction_start,operational_from,operational_to,capacity,last_updated,source,iaeaid
0,Atucha-1,Argentina,Operational,PHWR,Siemens-KWU,1 Jun 1968,24 Jun 1974,,335.0,,,
1,Atucha-2,Argentina,Operational,PHWR,Siemens-KWU,14 Jul 1981,27 Jun 2014,,692.0,,,
2,Atucha-3,Argentina,Planned,PWR,Hualong One,,,,1200.0,,,
3,Embalse-1,Argentina,Operational,PHWR,CANDU-6,1 Apr 1974,20 Jan 1984,(2049),600.0,,,
4,CAREM-1,Argentina,Under construction,PWR,CAREM25,8 Feb 2014,,,25.0,,,
5,Metsamor-1,Armenia,Shut down,PWR,VVER-440/V-270,1 Jul 1969,6 Oct 1977,25 Feb 1989,376.0,,,
6,Metsamor-2,Armenia,Operational,PWR,VVER-440/V-270,1 Jul 1975,3 May 1980,(2026),375.0,,,
7,Zwentendorf-1,Austria,Finished; never entered service,BWR,BWR-69 (KWU),Apr 1972,,5 Nov 1978,878.0,,,
8,Rooppur-1,Bangladesh,Under construction,PWR,VVER-1200/V-523,30 Nov 2017,(2024),,1080.0,,,
9,Rooppur-2,Bangladesh,Under construction,PWR,VVER-1200/V-523,14 Jul 2018,(2025),,1080.0,,,
10,Ostrovets-1,Belarus,Operational,PWR,VVER-1200/V-491,6 Nov 2013,10 Jun 2021,,1109.0,,,
11,Ostrovets-2,Belarus,Operational,PWR,VVER-1200/V-491,24 Apr 2014,1 Nov 2023,,1109.0,,,
12,Minsk-1,Belarus,Unfinished,PWR,VVER-1000,1983,,1987,963.0,,,
13,Minsk-2,Belarus,Unfinished,PWR,VVER-1000,1983,,1987,963.0,,,
14,SCK•CEN-1,Belgium,Decommissioned,PWR,Westinghouse (WH) BR-3,1 Nov 1957,10 Oct 1962,30 Jun 1987,10.0,,,
15,Doel-1,Belgium,Operational,PWR,WH 2 loops,1 Jul 1969,15 Feb 1975,(2025),445.0,,,
16,Doel-2,Belgium,Operational,PWR,WH 2 loops,1 Sep 1971,1 Dec 1975,(2025),445.0,,,
17,Doel-3,Belgium,Shut down,PWR,Framatome 3 loops,1 Jan 1975,1 Oct 1982,23 Sep 2022,1006.0,,,
18,Doel-4,Belgium,Operational,PWR,Belgian firms plus WH 3 loops,1 Dec 1978,1 Jul 1985,(2035),1039.0,,,
19,Tihange-1,Belgium,Operational,PWR,Framatome 3 loops,1 Jun 1970,1 Oct 1975,(2025),962.0,,,
20,Tihange-2,Belgium,Shut down,PWR,Framatome 3 loops,1 Apr 1976,1 Jun 1983,31 Jan 2023,1008.0,,,
21,Tihange-3,Belgium,Operational,PWR,Belgian firms plus WH 3 loops,1 Nov 1978,1 Sep 1985,(2035),1046.0,,,
22,Angra-1,Brazil,Operational,PWR,WH 2 loops,1 May 1971,1 Jan 1985,,609.0,,,
23,Angra-2,Brazil,Operational,PWR,Pre-Konvoi,1 Jan 1976,1 Feb 2001,,1275.0,,,
24,Angra-3,Brazil,Under construction,PWR,Pre-Konvoi,1 Jun 2010,(2028),,1245.0,,,
25,Kozloduy-1,Bulgaria,Shut down,PWR,VVER-440/V-230,1 Apr 1970,28 Oct 1974,31 Dec 2002,408.0,,,
26,Kozloduy-2,Bulgaria,Shut down,PWR,VVER-440/V-230,1 Apr 1970,10 Nov 1975,31 Dec 2002,408.0,,,
27,Kozloduy-3,Bulgaria,Shut down,PWR,VVER-440/V-230,1 Oct 1973,20 Jan 1981,31 Dec 2006,408.0,,,
28,Kozloduy-4,Bulgaria,Shut down,PWR,VVER-440/V-230,1 Oct 1973,20 Jun 1982,31 Dec 2006,408.0,,,
29,Kozloduy-5,Bulgaria,Operational,PWR,VVER-1000/V-320,9 Jul 1980,23 Dec 1988,,1003.0,,,
30,Kozloduy-6,Bulgaria,Operational,PWR,VVER-1000/V-320,1 Apr 1982,30 Dec 1993,,1003.0,,,
31,Kozloduy-7,Bulgaria,Planned,PWR,AP1000,,(2033),,1150.0,,,
32,Kozloduy-8,Bulgaria,Planned,PWR,AP1000,,,,1150.0,,,
33,Belene-1,Bulgaria,Unfinished,PWR,"VVER-1000/V-320
VVER-1000/V-446B","1987
2008",,,982.0,,,
34,Belene-2,Bulgaria,Unfinished,PWR,"VVER-1000/V-320
VVER-1000/V-446B","1987
2008",,,982.0,,,
35,Pickering-1,Canada,Operational,PHWR,CANDU 500A,Jun 1966,29 Jul 1971,(2024),515.0,,,
36,Pickering-2,Canada,Shut down,PHWR,CANDU 500A,Sep 1966,30 Dec 1971,1997,515.0,,,
37,Pickering-3,Canada,Shut down,PHWR,CANDU 500A,Dec 1967,1 Jun 1972,1997,515.0,,,
38,Pickering-4,Canada,Operational,PHWR,CANDU 500A,May 1968,17 Jun 1973,(2024),515.0,,,
39,Pickering-5,Canada,Operational,PHWR,CANDU 500B,Nov 1974,10 May 1983,(2026),516.0,,,
40,Pickering-6,Canada,Operational,PHWR,CANDU 500B,Oct 1975,1 Feb 1984,(2026),516.0,,,
41,Pickering-7,Canada,Operational,PHWR,CANDU 500B,Mar 1976,1 Jan 1985,(2026),516.0,,,
42,Pickering-8,Canada,Operational,PHWR,CANDU 500B,Sep 1976,28 Feb 1986,(2026),516.0,,,
43,Darlington-1,Canada,Operational,PHWR,CANDU 850,Apr 1982,14 Nov 1992,(2052),878.0,,,
44,Darlington-2,Canada,Operational,PHWR,CANDU 850,Sep 1981,9 Oct 1990,(2050),878.0,,,
45,Darlington-3,Canada,Operational,PHWR,CANDU 850,Sep 1984,14 Feb 1993,(2053),878.0,,,
46,Darlington-4,Canada,Operational,PHWR,CANDU 850,Jul 1985,14 Jun 1993,(2053),878.0,,,
47,Darlington-5,Canada,Planned,BWR,BWRX-300,(2023),(2028),,300.0,,,
48,Darlington-6,Canada,Planned,BWR,BWRX-300,(2023),(2028),,300.0,,,
49,Darlington-7,Canada,Planned,BWR,BWRX-300,(2023),(2029),,300.0,,,
50,Darlington-8,Canada,Planned,BWR,BWRX-300,(2023),(2029),,300.0,,,
51,Bruce-1,Canada,Operational,PHWR,CANDU 791,Jun 1971,1 Sep 1977,(2043),823.0,,,
52,Bruce-2,Canada,Operational,PHWR,CANDU 791,Dec 1970,1 Sep 1977,(2043),823.0,,,
53,Bruce-3,Canada,Operational,PHWR,CANDU 750A,Jul 1972,1 Feb 1978,(2064),817.0,,,
54,Bruce-4,Canada,Operational,PHWR,CANDU 750A,Sep 1972,18 Jan 1979,(2064),817.0,,,
55,Bruce-5,Canada,Operational,PHWR,CANDU 750B,Jun 1978,1 Mar 1985,(2064),817.0,,,
56,Bruce-6,Canada,Operational,PHWR,CANDU 750B,Jan 1978,15 Sep 1984,(2064),880.0,,,
57,Bruce-7,Canada,Operational,PHWR,CANDU 750B,May 1979,10 Apr 1986,(2064),817.0,,,
58,Bruce-8,Canada,Operational,PHWR,CANDU 750B,Aug 1979,22 May 1987,(2064),817.0,,,
59,NPD-1,Canada,Shut down,PHWR,CANDU,Jan 1958,4 Jun 1962,1987,19.0,,,
60,Douglas Point-1,Canada,Shut down,PHWR,CANDU 200,Feb 1960,26 Sep 1968,4 May 1984,200.0,,,
61,Gentilly-1,Canada,Shut down,BWR,CANDU BLWR 250,Sep 1966,1 May 1972,1977,250.0,,,
62,Gentilly-2,Canada,Shut down,PHWR,CANDU-6,Apr 1974,1 Oct 1983,28 Dec 2012,635.0,,,
63,Point Lepreau-1,Canada,Operational,PHWR,CANDU-6,May 1975,1 Feb 1983,(2041),635.0,,,
64,Bailong-1,China,Planned,PWR,CAP-1000,,,,1100.0,,,
65,Bailong-2,China,Planned,PWR,CAP-1000,,,,1100.0,,,
66,Changjiang-I-1,China,Operational,PWR,CNP-600,25 Apr 2010,25 Dec 2015,,601.0,,,
67,Changjiang-I-2,China,Operational,PWR,CNP-600,21 Nov 2010,20 Jun 2016,,601.0,,,
68,Changjiang-I-3,China,Under construction,PWR,Hualong One,31 Mar 2021,,,1200.0,,,
69,Changjiang-I-4,China,Under construction,PWR,Hualong One,31 Mar 2021,,,1200.0,,,
70,Changjiang-II-1,China,Under construction,PWR,ACP-100,13 Jul 2021,,,100.0,,,
71,Changjiang-II-2,China,Planned,PWR,ACP-100,,,,100.0,,,
72,Daya Bay-1,China,Operational,PWR,M-310,7 Aug 1987,1 Feb 1994,,944.0,,,
73,Daya Bay-2,China,Operational,PWR,M-310,7 Apr 1988,6 May 1994,,944.0,,,
74,Fangchenggang-1,China,Operational,PWR,CPR-1000,30 Jul 2010,25 Oct 2015,,1000.0,,,
75,Fangchenggang-2,China,Operational,PWR,CPR-1000,23 Dec 2010,15 Jul 2016,,1000.0,,,
76,Fangchenggang-3,China,Operational,PWR,Hualong One,24 Dec 2015,25 Mar 2023,,1000.0,,,
77,Fangchenggang-4,China,Under construction,PWR,Hualong One,24 Dec 2016,(2024),,1000.0,,,
78,Fangchenggang-5,China,Planned,PWR,Hualong One,,,,1117.0,,,
79,Fangchenggang-6,China,Planned,PWR,Hualong One,,,,1117.0,,,
80,Fangjiashan-1,China,Operational,PWR,CPR-1000,26 Dec 2008,15 Dec 2014,,1012.0,,,
81,Fangjiashan-2,China,Operational,PWR,CPR-1000,17 Jul 2009,12 Feb 2015,,1012.0,,,
82,Fuqing-1,China,Operational,PWR,CPR-1000,21 Nov 2008,19 Nov 2014,,1000.0,,,
83,Fuqing-2,China,Operational,PWR,CPR-1000,17 Jun 2009,15 Oct 2015,,1000.0,,,
84,Fuqing-3,China,Operational,PWR,CPR-1000,31 Dec 2010,7 Sep 2016,,1000.0,,,
85,Fuqing-4,China,Operational,PWR,CPR-1000,17 Nov 2012,31 Jul 2017,,1000.0,,,
86,Fuqing-5,China,Operational,PWR,Hualong One,15 Apr 2015,30 Jan 2021,,1000.0,,,
